Name,Description,Average Score,Number of Reviews,Publishing Year
Advanced RuneQuest,"From the back cover: Now in hardback book format, the companion volume to the acclaimed RuneQuest Fantasy Roleplaying Adventure rulebook. With this, the second volume in Games Workshop's series of hardback volumes based on Avalon Hill's Third Edition RuneQuest, players of this original, realistic, detailed and sophisticated game system can take their gaming to new highs. Featured within are additional rules for character backgrounds, special combat situations, spellcasting careers, new spells, creating and running adventures, and sea-borne gaming. And, for starter GMs, a complete and ready-to-play adventure, The Money Tree. RuneQuest is the game which brought percentage-based skills systems to the forefront, allowing characters to develop unique patterns of expertise. Lastingly popular over more than ten years, RuneQuest represents one of the pinnacles of gaming achievement. This book contains twelve main sections: Introduction — in which the links to the basic game are explained Creating an Adventurer — in which the different backgrounds characters will have come from, and the effects upon their skills are detailed. Combat — in which special combat situations are covered. Skills — where the effects of the environment are explained. Magic — an overview of the forms of magic. Spirit Magic — including rules on becoming a tribal shaman, and including many new spells Divine Magic — which brings more spells, more deities and new careers for spellcasters Sorcery — a guide to the life of the sorcerer's apprentice, and still more new spells Ritual Magic — a whole new class of magic! Gamemastering — more ideas for running your RuneQuest campaign. Scenario Aids — tables for generating simple RuneQuest adventures. The Money Tree — a ready-to-play scenario.",6.98684,38,1987
Spirit of the Century,"Spirit of the Century is a complete, stand-alone pulp role-playing game based on the award winning Fate system. Spirit features a heavily revised, revisited, and reimagined vision of FATE. Character creation can be done as quickly as a few minutes, or expand to take up an evening; adventure design is a snap with three methods for creating relevant, flavorful, player-focused stories at a moment's notice. Spirit's mission is to deliver an evening of fun, a ""pick-up"" game that requires little preparation, but provides hours of entertainment. All you need to play are some friends, some fudge dice, and the book. The deadly Doctor Methuselah seeks to unravel time itself with his solution to the Eternity Equation. Gorilla Khan stalks darkest Africa from conquered Atlantis. Mad scientists, strange sorcerors, and power-hungry dictators all seek to undo the fate of humanity. It’s the final century of the second millennium – and you are our last hope!",7.66453,234,2006
Forgotten Realms Campaign Setting,"From the back cover: Dark perils and great deeds await... Welcome to Faerûn, a land of high magic, terrifying monsters, ancient ruins, and hidden wonders. From the forbidding forests of the Silver Marches to the teeming cities of the Inner Sea, Faerûn encompasses shining kingdoms, monster-infested wastes, endless caverns, and sinister citadels. The FORGOTTEN REALMS(R) Campaign Setting presents the most comprehensive fantasy world ever described! This book contains all the details you need to play DUNGEONS & DRAGONS(R) adventures in the FORGOTTEN REALMS setting: - A new full-color poster map of Faerûn. - Dozens of new races, feats, and prestige classes for your characters. - The Faerûnian pantheon, including over 100 deities and powers. - Highly detailed regions, new monsters, mysterious sites, and two short adventures to begin your campaign. The FORGOTTEN REALMS Campaign Setting is fully updated and redesigned for the new edition of the D&D(R) game. To make full use of this book, you also need the D&D Player's Handbook, DUNGEON MASTER's Guide, and Monster Manual. Expanded by; Deities",7.67662,263,2001
Gamer's Handbook of the Marvel Universe: Abomination thru Dreadnought,"From the back cover) Abomination thru Dreadnought by David E. Marin, Chris Mortika, and Scott Bennie The Gamer's Handbook of the MARVEL UNIVERSE is the complete, last word on the heroes, villains, and other characters of the Marvel Universe that the players of the MARVEL SUPER HEROES role-playing game have been looking for! Supplemented by data from the popular OFFICIAL HANDBOOK OF THE MARVEL UNIVERSE, the Gamer's Handbook of the MARVEL UNIVERSE has complete MARVEL SUPER HEROES game statistics for hundreds of Marvel characters-the good, the bad, and the in-between! The pages of the Gamer's Handbook of the MARVEL UNIVERSE are designed to be removed from this book for easy play. The pages are five-hole punched so they can be organized in a binder. And each page includes complete background information, important facts, and complete stats-everything you need! The first volume of the Gamer's Handbook of the MARVEL UNIVERSE covers the characters ABOMINATION through DREADNOUGHT. Look for more volumes in the near future covering more of your favorite characters!",7.84091,22,1988
Dark Ages: Vampire,"Dark Ages Vampire is the revised edition of the Vampire: The Dark Ages rulebook. The timeline has been advanced by three decades to 1230, and the rules have been modified to better reflect the 2nd Revised Edition of Vampire: The Masquerade.",7.83333,33,2002
Steve Jackson's Sorcery! Bundled Set,"In 1985, Puffin Books released a box set containing all four Sorcery! books. This came in a cardboard slipcase that featured a full color map of the Sorcery! world. The books inside did feature individual prices on the back covers, so there appears to be nothing unusual about the books themselves other than being prepackaged into this collectors set.",7.78413,52,1985
Savage Worlds Adventure Edition Roleplaying Game,"From the back cover: Any Time, Any Place The Savage Worlds Adventure Edition takes you anywhere you want to go, from the Weird Wild West of Deadlands to the crime-ridden streets of Necessary Evil. From the curious campus of East Texas University to the distant, untamed worlds of The Last Parsec. Or forge your own worlds, fully customized with setting-specific rules to help you model everything from pulp adventure to sword and sorcery to hard science fiction and everything in between. After years of fine-tuning and playtesting with fellow gamers around the world, this version of the award-winning, best-selling Savage Worlds game combines new and updated rules with the latest in narrative play and a tactical foundation you can use for whatever style of gaming fits your group! Savage Worlds is more fast, furious, & fun than it's ever been before!",8.14314,51,2018
Underdark,"From the Back of the Book: No realm in the Dungeons & Dragons world stirs the imagination like the Underdark. This vast subterranean domain holds thousands of adventure possibilities and myriad threats, including drow, mind flayers, dragons, and worse! Entire campaigns can unfold in its depths, and its rewards are boundless. This Dungeons and Dragons game supplement contains everything Dungeon Masters need to run adventures or campaigns set in the sprawling underworld of their campaigns, including new monsters and hazards, ready-to-play encounters, monster lairs, and detailed information on various dark-dwelling ""movers and shakers.""",7.28125,32,2010
Microscope,"Publisher's blurb: What is Microscope? Humanity spreads to the stars and forges a galactic civilization... Fledgling nations arise from the ruins of the empire... An ancient line of dragon-kings dies out as magic fades from the realm... These are all examples of Microscope games. Want to explore an epic history of your own creation, hundreds or thousands of years long, all in an afternoon? That's Microscope. You won't play the game in chronological order. You can defy the limits of time and space, jumping backward or forward to explore the parts of the history that interest you. Want to leap a thousand years into the future and see how an institution shaped society? Want to jump back to the childhood of the king you just saw assassinated and find out what made him such a hated ruler? That’s normal in Microscope. You have vast power to create... and to destroy. Build beautiful, tranquil jewels of civilization and then consume them with nuclear fire. Zoom out to watch the majestic tide of history wash across empires, then zoom in and explore the lives of the people who endured it. Mock chronological order. Defy time and space. Build worlds and destroy them. A role-playing game for two to four players. No GM. No prep.",8.0182,206,2011
Vampire: The Dark Ages,"This is the core book for Vampire: The Dark Ages. This game is derived from Vampire: The Masquerade, and unlike other games set in the World of Darkness, it does not take place in the modern age, but in medieval times. In this game, players play vampires (the Cainites). They are fighting their private wars for power, while trying not to lose themselves to the Beast. During the Dark Ages, the vampires are still less careful than they are in later times. And often, they don't need to be. Humans are far less organised; things that happen in an isolated cottage are less likely to attract attention than something happening in a 20th century apartment building. There are no foes with high-tech weapons. On the other hand, there is much to fear as well. There are few places to hide from the sun. Civilisation has not gained that much ground from the wilderniss, and the werewolves abound in that wilderniss. Also, little is happening at night. There are few shops to supply the vampires, and the Cainites' nightly activities are much more likely to draw unwanted attention. This book mainly deals with the different characters a player can create. A characters abilities are mostly governed by his clan, which is the same as the clan of the vampire who sired him. For the embrace, the creation of a new vampire, a vampire will usually select a person that will fit his clan. Another important aspect is the Road the character will follow: the mortal code he followes that keeps him from giving in to the Beast and becoming a mindless monster.",7.42202,109,2015
The Shadow Elves,"""Dark is the underworld. Darker are the lands of the Shadow Elves. Far underneath the rugged Broken Lands, even deeper than the deepest caverns of the trolls, live these pale-faced warriors. Their law is that of their Immortal Rafiel, and their mystical strength that of their Soul Crystals. Together, they will guide the people of the shadows to the lands under the sun. The Shadow Elves is the thirteenth in the best-selling Gazetteer collection. It provides an in-depth look at the culture, history, and goals of the Shadow Elves in the DUNGEONS & DRAGONS game world, including: - A 32-page Player's Guide, providing instructions on the creation and role-play of Shadow Elf player characters, their cultural backgroun and skills. - A 64-page DM's Guide with a complete atlas of the Shadow Elves' lands, new rules for shamans and their dark mystical powers, and a complete set of adventures. - A large color map-sheet depicting this great new world, and the fabulous City of the Stars.""",7.64242,33,1990
Children of the Horned Rat,"A Skaven sourcebook for Warhammer Fantasy Roleplay. Includes background, new spells, careers, rules for creating Skaven PCs and NPCs and a scenario, 'Slaves of Destiny'. From the back cover: ""Children of the Horned Rat reveals the secret world of the loathsome ratmen, serving as the essential guide to all things Skaven. Inside this exciting tome, you'll find everything you ever wanted to know and more, including: - Extensive information on how the Skaven are perceived in the Empire and the rest of the Old World including myths and legends. - A physiological overview of the Skaven, with detailed notes on the various breeds of the foul Ratmen. - A detailed history of the Skaven and their exploits. - Full disclosure on Skaven society, detailing how the Ratmen think and act, how they view each other and other races. - An examination of the Great Clans and details on six Warlord Clans. - Detailed descriptions of Skaven settlements including a sample warren: Under-Delberz. - New Skaven weapons like the tail blade and the Poisoned Wind Globe. - Extensive rules on Skaven Magic including a slew of new spells like Crackling Doom and Skitterleap as well as rules for creating and using Skaven technology. - Guidelines for playing Skaven characters including over ten careers like the Grey Seer and Warlock Engineer. - Several new monsters like the Bonechewer and Rat Mother. - And an all new adventure by Chris Pramas! The perfect accessory for any game set in the Old World, the Children of the Horned Rat exposes one of the gravest dangers the Empire faces. Don't believe the lies. The Skaven do exist and they will make slaves of us all!""",7.90968,62,2006
Old-School Essentials Advanced Fantasy Player's Tome,"From the back cover: The essential old-school game of fantastic adventure, monsters, and magic — expanded with advanced character options and spells! This book contains the complete game rules, 13 fantastic classes, 10 classic races, full equipment lists, and over 200 weird and wonderful spells. Simple rules let imagination and fast-paced action take the spotlight. Clear, modern presentation makes the game easy to learn and quick to reference. Compatible with decades of classic adventures and supplements. Includes everything from the Classic Fantasy Player’s Rules Tome plus loads more! Referees also require the companion book, the Advanced Fantasy Referee’s Tome.",9.175,20,2020
Diaspora,"From the back of the book: Humans have been in space tens of thousands of years, and societies have risen and fallen so many times that no one remembers where we come from. Colonies are grouped in clusters of a few systems connected by slipstreams – artifacts of the cosmos or perhaps a forgotten technology. Only the slipstreams allow travel faster than light. Apart from that, spacecraft make do with reaction drives, dumping heat as best they can. Diaspora is a self-contained role-playing game, with rules for starship battles, individual combat, social interaction, and platoon-scale engagement, in an original science fiction setting that you help design. This is your universe. How are you going to survive?",7.81828,186,2009
Call of Cthulhu (6th Edition/20th Anniversary releases),"Publisher blurb: ""That is not dead which can eternal lie, and with strange aeons even death may die."" --H. P. Lovecraft The Great Old Ones ruled the earth eons before the age of man. Remains of their cyclopean cities can still be found on remote islands in the Pacific, buried amid the shifting sands of vast deserts, and in the frozen wastes of the polar extremes. Originally they came to this world from the stars. Now they sleep — some deep within the earth and others beneath the sea. When the stars are right they will rise, and once again walk the earth. Call of Cthulhu is a roleplaying game based on the works of H. P. Lovecraft, in which ordinary people are confronted by the terrifying beings and forces of the Cthulhu Mythos. To play all you need are this book, some dice, and your friends. Publisher blurb: In honor of the 20th Anniversary of our award-winning Call of Cthulhu game, Chaosium Inc. is proud to announce a premium, bonded leather-bound edition of the core rulesbook with features such as high-quality paper stock, a new interior layout designed to evoke that 'ancient tome' look and feel, sienna ink, and a durable Smythe-sewn binding that collectively make this the one edition that every Cthulhu player and keeper will have to have. This is a once-in-a-lifetime gift. User comments: These 20th Anniversary releases from 2001–3 include the revised text and layout which was used for the 6th edition rulebook released in 2004. The individual version descriptions provide further details about each release.",8.4,25,2001
Troika! Numinous Edition,"From publisher blurb: Troika! Numinous Edition is the new edition of our popular Troika! RPG, a complete science-fantasy RPG full of critically acclaimed writing, built-in wonder and room for everyone at the table to go wild! Inside the book you will find: A full automated character creation system that generates exciting starting points for players to build upon Weighty lists of spells and enemies to encounter A baked-in plane-hoping setting which draws you into the world and allows you space to build upon its sturdy foundations",7.87297,37,2019
Scouts,"This book covers the new Scout character and how they are used in the Traveller universe. It also covers new Star System generation rules, and known star systems.",7.77667,45,1981
Dust Devils Revenged,"Dust Devils Stories in the Old West Shoot or give up the gun. Dust Devils, the Indie RPG Game of the Year 2002, is back with a vengeance. Relive the toughest moments of the Old West in this acclaimed game. Use this book with playing cards and poker chips to create your own exciting, powerful stories in the spirit of the Western. This book Includes: - Clearly written game rules with many examples showing exactly how to create fun and exciting Western stories. - The Last Trail, a quick and easy cowboy story that’s ready to play right away. - A look at the best Western movies. Plus, advice on how to use ideas from movies and the history of the West. - Three alternate genres, letting you create stories like super-spy action, samurai drama, and neo-noir crime.",7.24038,26,2007
Realms of Sorcery,"From the back cover: ""The Winds of Magic blow south from the Realms of Sorcery and only those with the knowledge and talent can master them. This massive volume offers unprecedented detail on all things magical in the Empire, from the history of the Orders of Magic to the lives of Witches and Hedge Wizards. Though distrusted, reviled, and even feared, Wizards have proved time and again to be capable allies in the ongoing struggle against Chaos. In revealing all the secrets about the Colleges of Magic, this sourcebook serves as an invaluable resource for those seeking the paths of wizardry or for those looking to acquire the tools needed to defeat them.""",7.72346,81,2005
Aces & Eights: Shattered Frontier,"Publisher blurb: By far the most deluxe western ever produced, this leatheredhardcover rides into town with 400 full color pages crammed with beautiful period artwork! Yes, the Aces & Eights: Shattered Frontier RPG is the highest quality, most complete western ever marketed in the adventure game industry. Just be sure to keep plenty of tissue nearby - the drool-factor on this product is through the roof! First, there’s the innovative and visual Shot Clock game aids, which eliminate the abstraction and complexity of other RPGs – a player can actually see the cover, position and location of his or her target! Of course, the Shot Clock game aids aren’t the only innovation in the Aces & Eights game. For instance, the game has a new poker chip-based brawling system that solves the problem of “temporary” damage; characters actually become winded, tired or knocked senseless in the fight. The realistically deadly combat supports an overall game system that rewards characters for pursuing professions, giving players the in-game incentives to do much more than follow the outlaw trail. In addition, the Aces & Eights RPG is the first western to not just allow, but focus on, the rest of the major western movie adventures beyond the gunfight. Prospecting, cattle drives, frontier justice, and so on, all have a complete “mini game” system tailored for that type of adventure. In fact, the Aces & Eights game has over two score available professions covering the full range of possibilities in the Wild West! With no levels or classes (and only gaining experience in skills used), characters can change professions at will, just like the Old West! The full-color maps and 25 pages of history provide such details as minor politicians and military officers (based on real historical figures), making the background spring to life like no other game has. And with the USA, CSA, Republic of Texas, Deseret, Mexico, France, England and dozens of Indian nations all vying for control of this alternate history setting, the Shattered Frontier is far wilder than the historical Wild West ever was! Whether you prefer simple shoot-'em-ups or on-going campaigns, this is the western RPG you simply can’t afford to miss!",8.28667,75,2007
Old-School Essentials Black Box,"Publisher summary: Boxed set of 5 hardcover books; total of 296 pages; A5 (Digest) size; deluxe quality sewn binding; 8 pages of colour art plates in each book; endpapers printed with tables and rules summaries. A Complete Game All in One Box Old-School Essentials is a modular game where the core rules of the game are extended by additional ""rules modules"" which add content for different genres of fantastic adventure. The Old-School Essentials Black Box is a compilation of the core rules plus four rules modules, forming a complete game for Classic Fantasy adventures: Core Rules: Rules for character creation and advancement, adventuring in dungeons, the wilderness, and at sea, magic and combat. Classic Fantasy: Genre Rules: Seven classic classes (cleric, dwarf, elf, fighter, halfling, magic-user, thief), complete lists of weapons and adventuring gear, extensive lists of vehicles, mounts, and vessels, mercenaries and specialists for hire, rules for stronghold construction. Classic Fantasy: Cleric and Magic-User Spells: The complete set of 34 cleric spells (from 1st to 5th level) and 72 magic-user spells (from 1st to 6th level), for use by players of cleric, elf, and magic-user characters. Classic Fantasy: Monsters: A selection of over 200 classic monsters to challenge adventurers of all levels. Classic Fantasy: Treasures: A hoard of over 150 wondrous magic items. The material in this boxed set forms a complete clone of the classic Basic/Expert game, including all rules, classes, spells, monsters, and magic items. user note: The books in this box are the identical to the separate individual rulebook volumes listed.",9.11111,9,2019
Changeling: The Dreaming (2nd Edition),"From the back cover: Just beyond the gray hills of the mundane, buried in your deepest heart, lies the key to the Dreaming. Unlock the chains and throw off the shackles. Come hither, changelings, and join the dream-dance, lest the Winter come and the Dreaming pass into memory. Reclaim your heritage! Let the games begin!",7.11294,85,1997
"Dragon Age RPG, Set 2","From the Green Ronin website: he Dragon Age RPG has been called the best introduction to RPGs in 30 years. Set 1 put adventurers on their path and covered characters of level 1 to 5. Now Set 2 brings them to the next stage of their journey, providing everything needed to play characters of level 6 to 10. Its many highlights include rules for playing the legendary Grey Wardens, the introduction of roleplaying and exploration stunts, nearly 40 new spells, expanded world info and character backgrounds, and the addition of specializations like arcane warrior, berserker, and assassin. Dragon Age RPG Set 2 is a boxed set containing two beautiful full color books (an 80-page Player's Guide and an 80-page Game Master's Guide), two different heavy reference cards (with multiple copies of each to share around the table), and a poster map of the world of Thedas depicting Orlais, Rivain, and everything in between. Return to Ferelden and face the Blight in Dragon Age Set 2!",7.69302,43,2011
Call of Cthulhu (7th Edition) Kickstarter Slipcase,"Kickstarter-exclusive slipcase to hold the 7th-edition Keeper Rulebook hardcover, Investigator Handbook hardcover, and Keeper Screen bundle, with Keeper Rulebook cover art on one side panel and Investigator Handbook cover art on the other.",9.17857,14,2015
Snake Pipe Hollow,An adventure involving broos and other chaos monsters intended for experienced characters set in Dragon Pass. This edition for RuneQuest 3rd Ed. comes with a booklet of creature and character stats as well as a map of the caves involved in the adventure.,7.61364,22,1988
HeroQuest Glorantha,"From the back of the book: GLORANTHA Mythic Fantasy Roleplaying in the Classic Setting of Glorantha... A Marvelous Roleplaying System HeroQuest is an innovative, dynamic, and flexible narrative rules engine. It presents a simple rules system that allows Game Masters to run games modeled on ancient myth, epic sagas, and tales of high adventure. HeroQuest encourages creative input from players, resulting in an exciting, unpredictable narrative created through group play. A World of Gods, Heroes, and Mythic Fantasy Glorantha is the most elegant, original, and imaginative fantasy setting since Middle Earth. It is a world of exotic myth and awesome magic, self-contained and unique in its creation. The existence and use of the magical and mythic realms are central to the physics of Glorantha. Here the gods and heroes guard and guide their followers, sharing magics while pursuing their own enigmatic ends. Glorantha’s detailed cultures, histories, and myths are shaped by gods, heroes, and magic, and yet are plausible and logically self-consistent. Glorantha has been the setting for the original RuneQuest roleplaying game, and the award-winning computer game King of Dragon Pass. Glorantha is fully described in the Guide to Glorantha, available from Moon Design Publications. A Complete Roleplaying Game HeroQuest Glorantha contains the necessary game systems, comprehensive descriptions of major cultures, extensive design and staging notes, an epic scenario, and an introduction to the world of Glorantha.",8.42969,32,2015
Borderlands,"From the back of the box: a RuneQuest campaign in seven scenarios You Bet… You bet a lot when you left home and went adventuring. You could hold your own with a sword, and you knew your way around some of the not-so-nice local hot-spots, but you weren't prepared to be called 'stranger,' and you'd never actually seen a troll. You skirmished, and fought pitched battles. Your skills and confidence grew. Now the jobs for hired swords are few, and though you're still hungry for glory and riches and honor, right now you'd settle for a meal.… Fortunately, good men arc needed to help civilize a new domain — that may mean steady meals and reliable friends for a hungry, lonely mercenary. Seven scenarios of varying complexity will test his skills and wits, and his abilities to fight, guard, investigate, and explore will be crucial to his success. If he survives, he'll be well-seasoned, ready for anything in Glorantha. This campaign scenario pack provides everything needed to referee a RuneQuest® campaign along the River of Cradles, a fertile valley separating the devastation of Vulture's Country and the wretched chaparral of Prax. The campaign is intended for intermediately-skilled characters. Background, history, and regional details are included: the employer, the different tribal peoples in the area, the creatures and monsters (ducks to dinosaurs, whirlvishes to wraiths). and area-specific magic items. The encounters book is sizable, including the deadly Eternal Battle, a time-warped hold-over from the Gods Wars. Components - Referee's Handbook, Encounters Book, seven individually-bound and linked scenarios (Scouting the Land, Outlaw Hunt, Muriah's Revenge, Rescue of Jezra, 5-Eyes Temple, Condor Crags, On to Giantland!), a 17 × 22 campaign map, player hand-outs. mercenaries earn their pay in Prax!",7.97368,19,2005
War and XPs,"From the back of the book: The battle lines have been clearly drawn. Which is more than we can say for the heroes. The Order of the Stick: War and XPs tells an epic two-dimensional tale of comedy and adventure as the now-moderately-competent members of everyone's favorite adventuring party, the Order of the Stick, find themselves on the front line of a battle to decide the fate of a bunch of people who aren't them. Join Roy, Elan, Belkar, Haley, Vaarsuvius, Durkon, and thousands of unnamed soldiers as they contend with cryptic prophecies, vengeance, true love, betrayal, and potato salad! And then the big battle happens, and that's really cool, because a whole lot of stuff blows up. This third volume in the Order of the Stick story packs more action-packed stick figure laughs into a half-inch thick, two pound behemoth of a comic book than previously thought possible by scientists who study these things. Incidentally, such scientists are unlikely to get their funding renewed anytime soon. Are you really going to render their final research project meaningless by not buying this book? Do you hate progress??",8.43437,32,2008
Madness at Gardmore Abbey,"From the Publisher's Website: A thrilling heroic-tier adventure for characters of levels 6-8. This deluxe adventure takes heroes into the ruins of Gardmore Abbey, a monastery that was once the base of a militant order of paladins devoted to Bahamut. According to legend, the paladins brought a dark artifact back from a far crusade and stored it in their abbey for safekeeping, and evil forces gathered to assault the abbey and take it back. What the legends don’t tell is that this artifact was actually the Deck of Many Things, a force of pure Chaos. This adventure brings characters into the extensive dungeons beneath the ruins - dungeons that are warped and twisted with the raw forces of Chaos surrounding the cards of the deck.",8.0,23,2011
Monster of the Week (Revised),"From the publisher blurb: A monster lurks in the shadows... Most people don’t believe in monsters, but you know the truth. They’re real, and it’s your task to bring them down. This revised edition of Monster of the Week brings that adventure to life. Monster of the Week is a standalone action-horror RPG for 3-5 people. Hunt high school beasties a la Buffy the Vampire Slayer, travel the country to bring down unnatural creatures like the Winchester brothers of Supernatural, or head up the government investigation like Mulder and Scully. This book contains everything you need to tackle Bigfoot, collar a chupacabra, and drive away demons. In this revised edition, you’ll find: Character creation rules to bring your hunter to life and create a cohesive hunting team. Eight simple moves to investigate and deal with monsters. An easy-to-use system based on the popular Apocalypse World RPG. Thorough mystery-creation tools and two ready-to-play mysteries. New material including an introductory mystery; example monsters like Balkan vampires, ghouls, and spore trolls; and hunter types like the Crooked and the Spell-Slinger. Grab the fireplace poker and open your spell book. That monster’s going down!",7.92333,75,2015
The Adventurer's Toolkit,"Publisher Blurb: The Adventurer’s Toolkit lets players easily add more excitement and options to their Warhammer Fantasy Roleplay game. The Adventurer’s Toolkit is also perfect for new players in your campaign. Included in the toolkit are more than 50 action cards (including copies of key basic actions from the core set), 30 new talent cards, 10 new careers, 4 new party sheets, an extra pad of character sheets, new character standups, extra tokens to help manage your heroes, and much more!",7.53294,85,2009
Smith & Robards,"From the back of the 128-page sourcebook: ""Smith & Robards are two of the most notorious of the so-called mad scientists in the Weird West, and they've built themselves quite an empire on their pledge to get you the latest gizmos built with bleeding-edge steam technology - no matter where you might happen to be. This book features the entirety of the very first Smith & Robards mail-order catalog, featuring dozens of brand-new gadgets sure to drive any tinkerer insane with delight. There are also all sorts of rules for vehicles like ornithopters, auto-gyro, submersible boats, and steam tanks, as well as how to use them in combat. Plus, there are four new archetypes for you to model your own heroes on. Best of all, there's a whole new class of ghost-rock based science: alchemy. Soon your intellectual powerhouse will be mixing elixirs with the best of them. Take it from the people who put the ""mad"" back into ""mad scientist."" You'd be crazy to let this book get away.""",7.58276,29,1997
Monstrous Manual,"From the back cover: Need a monster? Look inside, where more than 300 new pieces of full color art show what the monsters really look like! This book contains more than 600 monsters, including all the creatures from the MONSTROUS COMPENDIUM(TM) Volumes 1 and 2! In addition, there are monsters from the other MONSTROUS COMPENDIUM Volumes, and some creatures never seen in the second edition AD&D(R) Game before. Entries have been reorganized, corrected, updated, and fully cross-referenced, to make this the most valuable monster reference ever!",7.65942,223,1993
Player's Handbook (2024),"Publisher's blurb: We are updating the fifth edition Player's Handbook, Dungeon Master's Guide, and Monster Manual. The 2024 core rulebooks take what we love about fifth edition and update the rules of the game to reflect the feedback we have heard from players and where the game is today. These new rulebooks are not ushering in a new edition of the game; they will be compatible with the books you enjoy today.",7.0,39,2024
Knights Adventurous,"From the back cover: Knights Adventurous expands and amplifies many topics introduced in the basic Pendragon rulesbook, and is a valuable aid to both the players and the game master. CHARACTER GENERATION greatly expands the options of player-knights. LANDS AND PEOPLES describes France, Ireland, and various regions of Britain revealing rulers, vassals, armies, and interesting features. Covers the Cymri, French, Occitanians, Irish, Picts, Romans, and Saxons. KNIGHTS introduces new classes and noble ambitions. Various organizations include the Queen's Knights, Knights of the Grail Temple, and Order of the Golden Apple. WOMEN details roles, ambitions, and character-generation. RELIGION Christianity, Paganism, Wotanism, and Judaism are all described. WEALTH provides many ways of spending money including feasts, stables, horse breeds, fashions in clothing and additional types of armour. GRAND EVENTS describes visiting court, hosting a tournament, and the hunt. MAGIC & FAIRIE discusses faerie in Britain, discusses religion and farie, magic use,and muses about King Arthur and the Faerie War.",7.47,25,1990
Tales From the Lone-lands,"From the back of the book: Tales from the Lone-lands contains six adventures for The One Ring™, the official tabletop role playing game based on the works of J.R.R. Tolkien. All set in the lone-lands of north-western Middle-earth around the year 1965 of the Third Age, the adventures can be played individually, or as part of a larger tale. Ancient evils wake as the Dark Lord stretches forth his hand. Over the course of these adventures, the heroes may thwart the spies and stratagems of the Enemy, explore long-lost wonders of the north,and travel far from hearth and home. Preserve the spark of hope,and one day these empty, wounded lands shall be healed! Fail, and all will be destroyed…",8.86667,15,2023
Titan: The Fighting Fantasy World,"From the back cover: You met the monsters in OUT OF THE PIT - now meet the rest of the Fighting Fantasy world! No adventurer should b ewithout this essential guide. TITAN contains everything you need to know, covering the turbulent history of the world, from its creation and early civilizations - to the present-day wilderness and anarchy where the delicate balance between Good and Chaos could at any moment be overturned... * Detailed descriptions and maps of Titan's three main continents, Allansia, Kakhabad and Khul * All the gods and deities...and demons! * Special expanded HIERARCHY OF THE PIT section * The Underwater Kingdoms * The Titan calendar * Fascinating background information on everyday life: taverns and hosteleries, food, clothes...even jokes! A mine of invaluable information is contained in this book. Make sure YOU sre armed with a copy before you set off on your next Fighting Fantasy adventure!",7.43929,28,1986
Cold City,"From the Publisher's website: ""As the Cold War rages in the full glare of the world media, the Underground War is fought in ruined bunkers, dank tunnels, building sites, and bombed out apartment blocks. In the divided city of Berlin, the Reserve Police Agency hunts down monsters left over from sinister experiments and twisted technology. Things from beyond our space and time, strange creatures altered by bizarre machines, the decayed corpses of undead soldiers, things that hide in the darkness. But the Reserve Police Agency itself is riven by suspicion, mistrust and political ambition. The four occupying powers of Britain, France, the USA and the USSR all see the need for the RPA, all contribute personnel, all have their own agendas. In 'Cold City' you take the role of a member of the RPA, those secretive Cold War monster hunters. Characters are defined not just by who they are and what they are like, but by the views of the other characters and the trust that they have in them. For each character is, at the outset, seen as a national stereotype, a cliched representative of their chosen nation. But is this really the case? Do they live up to the stereotype or do they show themselves to be wholly unique individuals? And how does this affect the trust that the other character have in them? 'Cold City' is written by Malcolm Craig (a|state) and illustrated by Stuart Beel (SLA Industries, Changeling, Werewolf and many other RPGs and CCGs) and Paul Bourne (a|state, Cold City, Hot War and many others).""",7.05366,41,2007
Marienburg: Sold Down the River,"From the back cover: Marienburg: Sold Down the River is a complete and incredibly detailed city-sourcebook for Warhammer Fantasy Roleplay, containing everything a GM needs to run adventures and campaigns in this unique city. It includes descriptions, maps, and histories of Marienburg and the surrounding Wasteland, information on Marienburg's politics, religions, laws and criminals, as well as details of eight of the city's most important districts, over forty individual locations and almost sixty fully-described non-player characters, all with connections and secrets that can be used to create plots and adventures. All the elements are woven together to create one of the most complete, coherent and fascinating city-sourcebooks ever released for any RPG. Plus there's a complete scenario and fifteen adventure seeds, rules for trading and smuggling, information on how to generate Wastelander PCs, atmospheric artwork that brings Marienburg and its inhabitants to life, an incredible panoramic poster-map of the entire city, and more.",8.00943,53,1999
Mutants & Masterminds Third Edition Hero's Handbook,"Publisher blurb: Since 2002, Mutants & Masterminds has earned its title as the World's Greatest Superhero RPG, inspiring countless game sessions and winning many awards for excellence. The M&M Hero's Handbook is the core rulebook of the game's third edition and it gives you everything you need to have your own superheroic adventures. The detailed character creation system lets you create the hero you want to play, choosing from a wide range of skills, advantages, and power effects. Customize your hero's powers with modifiers to create an almost endless range of superhuman abilities. Choose the complications your hero must overcome, earning you the hero points to achieve victory. You can also choose from one of more than a dozen heroic archetypes, customize as you like, and be ready to play in just minutes! The streamlined system of game play requires only a single die roll and features easy to use rules. Play out an entire heroic adventure in a few short hours without long, drawn-out encounters. Plus the hero point system allows players to influence the flow of the story and pull off superheroic stunts in the best comic book tradition! Become a hero of legend with the Mutants & Masterminds Hero's Handbook!",7.7825,40,2011
